Chameleon RevE Rebooted log parser v. 0.01 by NiTRo THe DeMoN

Binary log filename: logtest.bin
Log enabled: true
Log lenght: 29280
Total bytes wrote: 29296

02510/29296: [01500] + | READY       | 
02515/29296: [01502] R | READY       | 93 70 FF FF FF FF 00 27 D0
02529/29296: [01502] + | ACTIVE      | 
02534/29296: [01517] R | ACTIVE      | 62 EA 11
02542/29296: [01517] + | ACTIVE      | 
02547/29296: [01519] R | ACTIVE      | 50 00 57 CD
02556/29296: [01519] + | HALT        | 
02561/29296: [01525] R | HALT        | 52
02567/29296: [01525] + | READY       | 
02572/29296: [01527] R | READY       | 93 70 FF FF FF FF 00 27 D0
02586/29296: [01527] + | ACTIVE      | 
02591/29296: [01534] R | ACTIVE      | 50 00 57 CD
02600/29296: [01534] + | HALT        | 
02605/29296: [01537] R | HALT        | 52
02611/29296: [01537] + | READY       | 
02616/29296: [01539] R | READY       | 93 70 FF FF FF FF 00 27 D0
02630/29296: [01539] + | ACTIVE      | 
02635/29296: [01549] R | ACTIVE      | 60 00 F5 7B
02644/29296: [01549] + | AUTHING     | 
02649/29296: [01551] R | AUTHING     | D1 AD 3B 63 75 5C FC 03
02662/29296: [01551] + | IDLE        | 
02667/29296: [01554] R | IDLE        | 50 00 57 CD
02676/29296: [01554] + | HALT        | 
02681/29296: [01561] R | HALT        | 52
02687/29296: [01561] + | READY       | 
02692/29296: [01563] R | READY       | 93 70 FF FF FF FF 00 27 D0
02706/29296: [01563] + | ACTIVE      | 
02711/29296: [01568] R | ACTIVE      | 60 00 F5 7B
02720/29296: [01569] + | AUTHING     | 
02725/29296: [01570] R | AUTHING     | D6 9B FD 88 07 D6 E9 80
02738/29296: [01571] + | IDLE        | 
02743/29296: [01577] R | IDLE        | 50 00 57 CD
02752/29296: [01577] + | HALT        | 
02757/29296: [01581] R | HALT        | 52
02763/29296: [01581] + | READY       | 
02768/29296: [01583] R | READY       | 93 70 FF FF FF FF 00 27 D0
02782/29296: [01583] + | ACTIVE      | 
02787/29296: [00007] R | IDLE        | 26
02793/29296: [00007] T | READY       | 04 00
02800/29296: [00008] R | READY       | 93 20
02807/29296: [00008] T | READY       | FF FF FF FF 00
02817/29296: [00009] R | READY       | 93 70 FF FF FF FF 00 27 D0
02831/29296: [00009] T | ACTIVE      | 08 B6 DD
02839/29296: [00018] R | ACTIVE      | 50 00 57 CD
02848/29296: [00018] T | HALT        | 
02853/29296: [00023] R | HALT        | 52
02859/29296: [00023] T | READY       | 04 00
02866/29296: [00024] R | READY       | 93 70 FF FF FF FF 00 27 D0
02880/29296: [00024] T | ACTIVE      | 08 B6 DD
02888/29296: [00030] R | ACTIVE      | 50 00 57 CD
02897/29296: [00030] T | HALT        | 
02902/29296: [00034] R | HALT        | 52
02908/29296: [00034] T | READY       | 04 00
02915/29296: [00036] R | READY       | 93 70 FF FF FF FF 00 27 D0
02929/29296: [00036] T | ACTIVE      | 08 B6 DD
02937/29296: [00042] R | ACTIVE      | 60 00 F5 7B
02946/29296: [00042] T | AUTHING     | 01 20 01 45
02955/29296: [00044] R | AUTHING     | C0 81 D4 D8 16 3A 40 02
02968/29296: [00044] T | IDLE        | 
02973/29296: [00049] R | IDLE        | 50 00 57 CD
02982/29296: [00049] T | HALT        | 
02987/29296: [00053] R | HALT        | 52
02993/29296: [00053] T | READY       | 04 00
03000/29296: [00055] R | READY       | 93 70 FF FF FF FF 00 27 D0
03014/29296: [00055] T | ACTIVE      | 08 B6 DD
03022/29296: [00062] R | ACTIVE      | 50 00 57 CD
03031/29296: [00062] T | HALT        | 
03036/29296: [00067] R | HALT        | 52
03042/29296: [00067] T | READY       | 04 00
03049/29296: [00068] R | READY       | 93 70 FF FF FF FF 00 27 D0
03063/29296: [00068] T | ACTIVE      | 08 B6 DD
03071/29296: [00074] R | ACTIVE      | 60 00 F5 7B
03080/29296: [00075] T | AUTHING     | 01 20 01 45
03089/29296: [00076] R | AUTHING     | AA C6 1D 5D 62 75 28 85
03102/29296: [00077] T | IDLE        | 
03107/29296: [00083] R | IDLE        | 50 00 57 CD
03116/29296: [00083] T | HALT        | 
03121/29296: [00088] R | HALT        | 52
03127/29296: [00088] T | READY       | 04 00
03134/29296: [00090] R | READY       | 93 70 FF FF FF FF 00 27 D0
03148/29296: [00090] T | ACTIVE      | 08 B6 DD
03156/29296: [00097] R | ACTIVE      | 50 00 57 CD
03165/29296: [00097] T | HALT        | 
03170/29296: [00104] R | HALT        | 52
03176/29296: [00104] T | READY       | 04 00
03183/29296: [00105] R | READY       | 93 70 FF FF FF FF 00 27 D0
03197/29296: [00105] T | ACTIVE      | 08 B6 DD
03205/29296: [00148] R | ACTIVE      | 50 00 57 CD
03214/29296: [00148] T | HALT        | 
03219/29296: [00162] R | HALT        | 52
03225/29296: [00162] T | READY       | 04 00
03232/29296: [00163] R | READY       | 93 70 FF FF FF FF 00 27 D0
03246/29296: [00163] T | ACTIVE      | 08 B6 DD
03254/29296: [00168] R | ACTIVE      | 60 00 F5 7B
03263/29296: [00168] T | AUTHING     | 01 20 01 45
03272/29296: [00170] R | AUTHING     | 21 00 44 AA 90 85 A3 F1
03285/29296: [00170] T | IDLE        | 
03290/29296: [00175] R | IDLE        | 50 00 57 CD
03299/29296: [00175] T | HALT        | 
03304/29296: [00179] R | HALT        | 52
03310/29296: [00179] T | READY       | 04 00
03317/29296: [00180] R | READY       | 93 70 FF FF FF FF 00 27 D0
03331/29296: [00180] T | ACTIVE      | 08 B6 DD
03339/29296: [00188] R | ACTIVE      | 60 00 F5 7B
03348/29296: [00188] T | AUTHING     | 01 20 01 45
03357/29296: [00190] R | AUTHING     | 33 6A 16 13 0E 8A 41 EC
03370/29296: [00191] T | AUTH IDLE   | B1 CD F5 36
03379/29296: [00195] R | AUTH IDLE   | 30 59 29 ED
03388/29296: [00196] T | AUTH IDLE   | F0 85 BC C4 1E 38 88 F0 74 43 48 6A 53 F1 85 54 F4 10
03411/29296: [00212] R | AUTH IDLE   | DA 36 46 3B
03420/29296: [00213] T | HALT        | 
03425/29296: [00216] R | HALT        | 52
03431/29296: [00216] T | READY       | 04 00
03438/29296: [00218] R | READY       | 93 70 FF FF FF FF 00 27 D0
03452/29296: [00218] T | ACTIVE      | 08 B6 DD
03460/29296: [00228] R | ACTIVE      | E0 80 31 73
03469/29296: [00228] T | ACTIVE      | 04
03475/29296: [00231] R | ACTIVE      | 50 00 57 CD
03484/29296: [00231] T | HALT        | 
03489/29296: [00235] R | HALT        | 52
03495/29296: [00235] T | READY       | 04 00
03502/29296: [00237] R | READY       | 93 70 FF FF FF FF 00 27 D0
03516/29296: [00237] T | ACTIVE      | 08 B6 DD
03524/29296: [00247] R | ACTIVE      | C2 E0 B4
03532/29296: [00247] T | ACTIVE      | 04
03538/29296: [00250] R | ACTIVE      | 50 00 57 CD
03547/29296: [00250] T | HALT        | 
03552/29296: [00253] R | HALT        | 52
03558/29296: [00253] T | READY       | 04 00
03565/29296: [00255] R | READY       | 93 70 FF FF FF FF 00 27 D0
03579/29296: [00255] T | ACTIVE      | 08 B6 DD
03587/29296: [00261] R | ACTIVE      | 3C 00 A2 01
03596/29296: [00261] T | ACTIVE      | 04
03602/29296: [00264] R | ACTIVE      | 50 00 57 CD
03611/29296: [00264] T | HALT        | 
03616/29296: [00267] R | HALT        | 52
03622/29296: [00267] T | READY       | 04 00
03629/29296: [00268] R | READY       | 93 70 FF FF FF FF 00 27 08
03643/29296: [00268] T | ACTIVE      | 08 B6 DD
03651/29296: [00296] R | IDLE        | 26
03657/29296: [00296] T | READY       | 04 00
03664/29296: [00297] R | READY       | 93 20
03671/29296: [00297] T | READY       | FF FF FF FF 00
03681/29296: [00298] R | READY       | 93 70 FF FF FF FF 00 27 D0
03695/29296: [00298] T | ACTIVE      | 08 B6 DD
03703/29296: [00308] R | ACTIVE      | 50 00 57 CD
03712/29296: [00308] T | HALT        | 
03717/29296: [00312] R | HALT        | 52
03723/29296: [00312] T | READY       | 04 00
03730/29296: [00314] R | READY       | 93 70 FF FF FF FF 00 27 D0
03744/29296: [00314] T | ACTIVE      | 08 B6 DD
03752/29296: [00324] R | ACTIVE      | 50 00 57 CD
03761/29296: [00324] T | HALT        | 
03766/29296: [00328] R | HALT        | 52
03772/29296: [00328] T | READY       | 04 00
03779/29296: [00330] R | READY       | 93 70 FF FF FF FF 00 27 D0
03793/29296: [00330] T | ACTIVE      | 08 B6 DD
03801/29296: [00509] R | IDLE        | 26
03807/29296: [00509] T | READY       | 04 00
03814/29296: [00510] R | READY       | 93 20
03821/29296: [00510] T | READY       | FF FF FF FF 00
03831/29296: [00511] R | READY       | 93 70 FF FF FF FF 00 27 D0
03845/29296: [00511] T | ACTIVE      | 08 B6 DD
03853/29296: [00518] R | ACTIVE      | 50 00 57 CD
03862/29296: [00518] T | HALT        | 
03867/29296: [00523] R | HALT        | 52
03873/29296: [00523] T | READY       | 04 00
03880/29296: [00525] R | READY       | 93 70 FF FF FF FF 00 27 D0
03894/29296: [00525] T | ACTIVE      | 08 B6 DD
03902/29296: [00530] R | ACTIVE      | 50 00 57 CD
03911/29296: [00530] T | HALT        | 
03916/29296: [00533] R | HALT        | 52
03922/29296: [00533] T | READY       | 04 00
03929/29296: [00535] R | READY       | 93 70 FF FF FF FF 00 27 D0
03943/29296: [00535] T | ACTIVE      | 08 B6 DD
03951/29296: [00540] R | ACTIVE      | 60 00 F5 7B
03960/29296: [00540] T | AUTHING     | 01 20 01 45
03969/29296: [00542] R | AUTHING     | 9D 78 5F CB 54 A3 81 1E
03982/29296: [00542] T | IDLE        | 
03987/29296: [00545] R | IDLE        | 50 00 57 CD
03996/29296: [00545] T | HALT        | 
04001/29296: [00548] R | HALT        | 52
04007/29296: [00548] T | READY       | 04 00
04014/29296: [00550] R | READY       | 93 70 FF FF FF FF 00 27 D0
04028/29296: [00550] T | ACTIVE      | 08 B6 DD
04036/29296: [00553] R | ACTIVE      | 50 00 57 CD
04045/29296: [00553] T | HALT        | 
04050/29296: [00556] R | HALT        | 52
04056/29296: [00556] T | READY       | 04 00
04063/29296: [00558] R | READY       | 93 70 FF FF FF FF 00 27 D0
04077/29296: [00558] T | ACTIVE      | 08 B6 DD
04085/29296: [00561] R | ACTIVE      | 60 00 F5 7B
04094/29296: [00562] T | AUTHING     | 01 20 01 45
04103/29296: [00563] R | AUTHING     | E3 D4 78 CA 95 F2 7E 67
04116/29296: [00564] T | IDLE        | 
04121/29296: [00566] R | IDLE        | 50 00 57 CD
04130/29296: [00566] T | HALT        | 
04135/29296: [00570] R | HALT        | 52
04141/29296: [00570] T | READY       | 04 00
